Time Difference,# Frequency Deviations,# Occurrences,% Data
0 days 00:01:00,1.0,1485030,99.836634
0 days 00:02:00,2.0,1827,0.122827
0 days 00:03:00,3.0,200,0.013446
0 days 00:04:00,4.0,95,0.006387
0 days 00:05:00,5.0,40,0.002689
0 days 00:06:00,6.0,16,0.001076
0 days 00:07:00,7.0,12,0.000807
0 days 00:08:00,8.0,5,0.000336
0 days 00:09:00,9.0,1,6.7e-05
0 days 00:10:00,10.0,3,0.000202
0 days 00:11:00,11.0,4,0.000269
0 days 00:12:00,12.0,4,0.000269
0 days 00:13:00,13.0,3,0.000202
0 days 00:16:00,16.0,1,6.7e-05
0 days 00:19:00,19.0,2,0.000134
0 days 00:21:00,21.0,1,6.7e-05
0 days 00:24:00,24.0,1,6.7e-05
0 days 00:59:00,59.0,1,6.7e-05
0 days 01:29:00,89.0,1,6.7e-05
0 days 02:06:00,126.0,1,6.7e-05
1 days 03:00:00,1620.0,2,0.000134
1 days 03:01:00,1621.0,1,6.7e-05
1 days 03:03:00,1623.0,1,6.7e-05
2 days 00:04:00,2884.0,196,0.013177
2 days 00:05:00,2885.0,4,0.000269
2 days 00:06:00,2886.0,1,6.7e-05
2 days 00:07:00,2887.0,2,0.000134
2 days 00:09:00,2889.0,1,6.7e-05
3 days 00:04:00,4324.0,2,0.000134
3 days 03:01:00,4501.0,1,6.7e-05
3 days 03:17:00,4517.0,1,6.7e-05
